baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_ID	condition
ADAM10	5223.4889477617	-0.121446385000043	0.0536447617223145	-2.263900166594	0.0235802557098682	0.0296779176873511	ADAM10	UNCHANGED
ADAM11	98.8030042577381	-0.473070121141853	0.10431202542143	-4.53514462240196	5.7564027503564e-06	9.36918984964725e-06	ADAM11	UNCHANGED
ADAM15	4139.1823785647	-0.372473890777941	0.0689434263041979	-5.40260197012084	6.56810967464083e-08	1.18722420026452e-07	ADAM15	UNCHANGED
ADAM17	3058.25986914364	-0.486157360693234	0.0538327245426824	-9.0308890145022	1.7028272328344e-19	4.93209322020163e-19	ADAM17	UNCHANGED
ADAM19	786.444275539812	-0.35385733625189	0.128273625442511	-2.75861335509287	0.00580471693349917	0.00773465764416037	ADAM19	UNCHANGED
ADAM22	151.864970087413	-0.73945350385007	0.127363835841297	-5.805835690843	6.40457463217326e-09	1.21675760215766e-08	ADAM22	UNCHANGED
ADAM28	2269.75762748886	-0.585070771534884	0.107287908038735	-5.45327784118647	4.94497140799485e-08	9.00850537991711e-08	ADAM28	UNCHANGED
ADAM8	5418.55311582561	-1.19856441297866	0.112168917448607	-10.6853524152786	1.19195485184468e-26	4.32698657102737e-26	ADAM8	UNCHANGED
ADAM9	1756.26035462957	-0.92403437806329	0.108603868446194	-8.50830077494973	1.76500849913943e-17	4.77011590659615e-17	ADAM9	UNCHANGED
ADAMTS10	591.796664650238	-0.13111247143654	0.140721936738544	-0.931713096588074	0.35148481634126	0.385569049612859	ADAMTS10	UNCHANGED
ADAMTS13	95.3325422916761	0.271015674318868	0.0795905083700533	3.40512555917837	0.000661336389854664	0.000948306815432625	ADAMTS13	UNCHANGED
ADAMTS14	334.111798794653	0.216232404898425	0.172159094184558	1.25600338409437	0.209114743143301	0.236457514929251	ADAMTS14	UNCHANGED
ADAMTS17	27.4498923647207	0.0196356498436265	0.119177946972862	0.164759087921676	0.869133606984456	0.88265058522681	ADAMTS17	UNCHANGED
ADAMTS6	104.6208980963	0.679657060635961	0.127814986195102	5.31750681878965	1.05198743450987e-07	1.88218588569813e-07	ADAMTS6	UNCHANGED
ADAMTSL4	2681.66412489192	0.168160208834639	0.112385661531843	1.49627814209194	0.134581188653521	0.155631798755742	ADAMTSL4	UNCHANGED
ADAP1	638.793791193726	1.11839393701249	0.0957216761355957	11.6838106285165	1.54223259210466e-31	6.43629790160786e-31	ADAP1	UNCHANGED
ADAP2	659.889882811161	-0.0116042208721273	0.150406712069229	-0.0771522807225923	0.938502402902945	0.945875111243679	ADAP2	UNCHANGED
ADAR	14872.2647586981	0.0105387238372997	0.0354095187704983	0.297624034531644	0.765990128533196	0.789221688553903	ADAR	UNCHANGED
ADARB1	1183.74927325105	0.250330569190229	0.0697571577001654	3.58860047403617	0.000332457867134966	0.000486572680325702	ADARB1	UNCHANGED
ADAT1	790.295022083676	-0.138731667040452	0.0325857008935371	-4.25744001928059	2.06781114034526e-05	3.25530250981161e-05	ADAT1	UNCHANGED
ADAT2	1021.61135714576	0.804010431654167	0.0607121031334109	13.2430008212268	4.95295764997888e-40	2.58183571572752e-39	ADAT2	UNCHANGED
ADAT3	74.0785417592009	0.803127451784914	0.0557721314217463	14.4001570553526	5.1626069349083e-47	3.12247524266084e-46	ADAT3	UNCHANGED
ADCK1	279.817066951969	0.342088575519001	0.0559424108669263	6.11501310397129	9.6549029638905e-10	1.90391892985942e-09	ADCK1	UNCHANGED
ADCK2	596.755823255713	0.0310604149738884	0.0525252465941979	0.591342582622342	0.55429090334666	0.588276622967915	ADCK2	UNCHANGED
ADCK5	257.01632224192	-0.537165891779187	0.0589902033031967	-9.10601865564476	8.54606392058556e-20	2.50120308786864e-19	ADCK5	UNCHANGED
ADCY3	1847.88501177439	0.00507408634604617	0.0847835783002794	0.0598475134898788	0.952277083076092	0.957545559331008	ADCY3	UNCHANGED
ADCY4	414.450758580033	-1.39259087694516	0.106420451636687	-13.0857448500536	3.97246857088784e-39	2.02239821501083e-38	ADCY4	UNCHANGED
ADCY6	1025.55441673663	0.0409952818716152	0.130153420952536	0.314976598936769	0.752779421548917	0.776995770727612	ADCY6	UNCHANGED
ADCY7	7147.96829007356	-0.0108307779501045	0.0685968827658752	-0.157890235144802	0.874543292773182	0.887648418437412	ADCY7	UNCHANGED
ADCY9	1299.34911589081	0.189728108641613	0.135548652470456	1.39970486746791	0.161601715619327	0.185384673766964	ADCY9	UNCHANGED
ADD1	10397.0198014343	-0.280402790191124	0.0264100141761695	-10.6172904081263	2.47645239217644e-26	8.8776177964116e-26	ADD1	UNCHANGED
ADD2	1044.44554037505	-0.216030281113671	0.178211861581846	-1.21221045106729	0.225431831909717	0.253881454815188	ADD2	UNCHANGED
ADD3	7262.94232297644	-0.500782501115532	0.0650229770225814	-7.70162370359662	1.34348027118085e-14	3.26731765326209e-14	ADD3	UNCHANGED
ADH5	1643.79305257855	0.615308313197537	0.0337216405987748	18.2466897301519	2.19832892585186e-74	2.21151078749211e-73	ADH5	UNCHANGED
ADHFE1	418.503639053078	0.200752328887417	0.071459739339862	2.8093067612889	0.00496483143191224	0.00665128830036891	ADHFE1	UNCHANGED
ADI1	1891.06488967476	-0.0269226932912598	0.0385663697838069	-0.698087308766199	0.485122594438409	0.520695068144769	ADI1	UNCHANGED
ADIPOR1	5131.1323147434	-0.687517735859199	0.0632765487661008	-10.8652849952449	1.68695636334556e-27	6.2743039366587e-27	ADIPOR1	UNCHANGED
ADIPOR2	3146.23781572155	-0.131158298244677	0.0435014547872227	-3.01503246009145	0.00256951754504445	0.00352859700651174	ADIPOR2	UNCHANGED
ADK	860.276979268927	-0.082386347582376	0.0432701873906053	-1.9039979383187	0.0569104526904463	0.0686589762793802	ADK	UNCHANGED
ADM	1247.78862349733	-4.02081201599333	0.181372075124514	-22.1688593088709	6.86275642895155e-109	1.0570389669169e-107	ADM	DOWN
ADM2	64.5912237608769	0.241088565397193	0.142069759987197	1.69697313079799	0.0897017405136383	0.105934316688458	ADM2	UNCHANGED
ADNP	4625.97180878731	0.328014570813379	0.0362436231047425	9.05026988790361	1.42615408009366e-19	4.13622612856951e-19	ADNP	UNCHANGED
ADNP2	2426.97785641531	-0.633537853137218	0.0835288047108762	-7.58466322282623	3.33351781356505e-14	7.9806831519049e-14	ADNP2	UNCHANGED
ADO	945.413262889965	0.0419556125669317	0.0375786123972209	1.11647583267429	0.264218509339977	0.295003874716131	ADO	UNCHANGED
ADORA2A	118.079900636031	1.71649210530387	0.132246498226205	12.9794900305628	1.59941952856208e-38	8.00443779668173e-38	ADORA2A	UNCHANGED
ADORA2B	128.625694203506	0.513013895862876	0.107161363086059	4.78730282154854	1.69037679742225e-06	2.83244606267511e-06	ADORA2B	UNCHANGED
ADORA3	113.945111860361	-0.176923235623553	0.126585762201382	-1.3976550960138	0.162216664749504	0.18599229619318	ADORA3	UNCHANGED
ADPGK	5363.63734829709	-0.180062513454341	0.0341078319414996	-5.27921310751082	1.29739842349356e-07	2.30613362806802e-07	ADPGK	UNCHANGED
ADPRH	643.097708422288	0.0825992805631044	0.0919252878710609	0.898547967333673	0.368893484503949	0.403407886934975	ADPRH	UNCHANGED
ADPRHL1	31.6371564609775	0.0150897616655626	0.0960890177175002	0.157039399756653	0.875213796801076	0.888246296334643	ADPRHL1	UNCHANGED
ADRB1	177.848596342612	-0.712719634002975	0.185966873817971	-3.83250855042388	0.000126843189226107	0.00019055310352813	ADRB1	UNCHANGED
ADRB2	815.478271291936	0.14307588039922	0.11860408614571	1.20633179723205	0.227689582002745	0.256265341288052	ADRB2	UNCHANGED
ADRM1	2127.9753045914	-0.602420001047045	0.0487337726553153	-12.361448092842	4.22476785906394e-35	1.93251231137132e-34	ADRM1	UNCHANGED
ADSL	1975.7793820312	0.162170043924416	0.0343532849921906	4.72065608751191	2.35085128163255e-06	3.90912370024442e-06	ADSL	UNCHANGED
AEBP1	931.454178419675	0.0375745665398936	0.141075740834137	0.266343216188175	0.789974892980837	0.811709809474798	AEBP1	UNCHANGED
AEBP2	1187.13192431022	0.135077021376562	0.0351583713511598	3.84195900394304	0.000122056226138577	0.00018351346284864	AEBP2	UNCHANGED
AEN	963.012199570776	-0.0640021030385086	0.0598739010140522	-1.06894827219438	0.285092978680285	0.317141582424616	AEN	UNCHANGED
AFAP1	181.288446147166	-0.671918765426598	0.158263692731877	-4.245564815456	2.18043465786647e-05	3.42963218578304e-05	AFAP1	UNCHANGED
AFAP1L2	74.3576512926146	0.400184008939958	0.149483280093724	2.67711551879948	0.00742590268901826	0.00981688311598304	AFAP1L2	UNCHANGED
